
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1047]
[BSA_averageDensity : 0.121079]
[BSA_reordering : 643]
[BSA_numClusters : 495]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 202747]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 587]
[BSA_averageDensity : 0.139667]
[BSA_reordering : 87]
[BSA_numClusters : 282]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 83571]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 928]
[BSA_averageDensity : 0.133692]
[BSA_reordering : 968]
[BSA_numClusters : 1741]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 154605]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 928]
[BSA_averageDensity : 0.133692]
[BSA_reordering : 980]
[BSA_numClusters : 1741]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 154605]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1191]
[BSA_averageDensity : 0.137945]
[BSA_reordering : 488]
[BSA_numClusters : 874]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 124101]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 10644]
[BSA_averageDensity : 0.295386]
[BSA_reordering : 202]
[BSA_numClusters : 321]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 173824]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 13741]
[BSA_averageDensity : 0.144099]
[BSA_reordering : 715]
[BSA_numClusters : 664]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 674222]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 46524]
[BSA_averageDensity : 0.165154]
[BSA_reordering : 6388]
[BSA_numClusters : 1824]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 1388849]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 304]
[BSA_averageDensity : 0.12509]
[BSA_reordering : 207]
[BSA_numClusters : 322]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 196739]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 459]
[BSA_averageDensity : 0.135221]
[BSA_reordering : 191]
[BSA_numClusters : 326]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 200193]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 498]
[BSA_averageDensity : 0.135903]
[BSA_reordering : 200]
[BSA_numClusters : 324]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 201158]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 96261]
[BSA_averageDensity : 0.114047]
[BSA_reordering : 182]
[BSA_numClusters : 351]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 1860907]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.1]
[BSA_block_size : 16]
