
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 5574]
[BSA_numClusters : 6428]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 235200]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 6]
[BSA_averageDensity : 0.322917]
[BSA_reordering : 291]
[BSA_numClusters : 1744]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 104063]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 10]
[BSA_averageDensity : 0.365625]
[BSA_reordering : 1330]
[BSA_numClusters : 3501]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 185430]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 10]
[BSA_averageDensity : 0.365625]
[BSA_reordering : 1436]
[BSA_numClusters : 3501]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 185430]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 856]
[BSA_numClusters : 2646]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 166160]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 4362]
[BSA_averageDensity : 0.562043]
[BSA_reordering : 396]
[BSA_numClusters : 819]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 351093]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 329]
[BSA_averageDensity : 0.358936]
[BSA_reordering : 6178]
[BSA_numClusters : 6411]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 1150889]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 2827]
[BSA_averageDensity : 0.394588]
[BSA_reordering : 51449]
[BSA_numClusters : 17149]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 3070292]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 2036]
[BSA_numClusters : 6471]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 206474]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 12]
[BSA_averageDensity : 0.395508]
[BSA_reordering : 2155]
[BSA_numClusters : 6444]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 214867]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 14]
[BSA_averageDensity : 0.388672]
[BSA_reordering : 1945]
[BSA_numClusters : 6452]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 217091]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 105]
[BSA_averageDensity : 0.436235]
[BSA_reordering : 678]
[BSA_numClusters : 1431]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 4659611]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.3]
[BSA_block_size : 16]
