
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 643]
[BSA_numClusters : 495]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 235200]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 87]
[BSA_numClusters : 282]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 104559]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 968]
[BSA_numClusters : 1741]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 980]
[BSA_numClusters : 1741]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 488]
[BSA_numClusters : 874]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 166160]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1391]
[BSA_averageDensity : 0.619864]
[BSA_reordering : 202]
[BSA_numClusters : 321]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 757980]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 715]
[BSA_numClusters : 664]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 1181120]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 69]
[BSA_averageDensity : 0.547498]
[BSA_reordering : 6388]
[BSA_numClusters : 1824]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 3346189]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 207]
[BSA_numClusters : 322]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 206474]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 191]
[BSA_numClusters : 326]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 216082]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 200]
[BSA_numClusters : 324]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 218484]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 103]
[BSA_averageDensity : 0.534019]
[BSA_reordering : 182]
[BSA_numClusters : 351]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 4657256]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.1]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
