
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1312]
[BSA_averageDensity : 0.118825]
[BSA_reordering : 5574]
[BSA_numClusters : 6428]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 195290]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 666]
[BSA_averageDensity : 0.154432]
[BSA_reordering : 291]
[BSA_numClusters : 1744]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 78229]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 503]
[BSA_averageDensity : 0.130692]
[BSA_reordering : 1330]
[BSA_numClusters : 3501]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 169537]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 503]
[BSA_averageDensity : 0.130692]
[BSA_reordering : 1436]
[BSA_numClusters : 3501]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 169537]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 957]
[BSA_averageDensity : 0.137258]
[BSA_reordering : 856]
[BSA_numClusters : 2646]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 132533]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 8797]
[BSA_averageDensity : 0.366542]
[BSA_reordering : 396]
[BSA_numClusters : 819]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 153246]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 13584]
[BSA_averageDensity : 0.154985]
[BSA_reordering : 6178]
[BSA_numClusters : 6411]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 642159]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 34798]
[BSA_averageDensity : 0.171049]
[BSA_reordering : 51449]
[BSA_numClusters : 17149]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 1832102]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 451]
[BSA_averageDensity : 0.129279]
[BSA_reordering : 2036]
[BSA_numClusters : 6471]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 191548]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 631]
[BSA_averageDensity : 0.139053]
[BSA_reordering : 2155]
[BSA_numClusters : 6444]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 193620]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 644]
[BSA_averageDensity : 0.141128]
[BSA_reordering : 1945]
[BSA_numClusters : 6452]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 195217]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 115814]
[BSA_averageDensity : 0.115346]
[BSA_reordering : 678]
[BSA_numClusters : 1431]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 1251527]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.5]
[BSA_delta : 0.1]
