
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 8812]
[BSA_numClusters : 10124]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 235200]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 1035]
[BSA_numClusters : 5870]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 104559]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 3260]
[BSA_numClusters : 8406]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 3230]
[BSA_numClusters : 8406]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 1647]
[BSA_numClusters : 5969]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 166160]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 846]
[BSA_averageDensity : 0.614787]
[BSA_reordering : 1507]
[BSA_numClusters : 3826]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 845563]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 17503]
[BSA_numClusters : 15852]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 1181120]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 151129]
[BSA_numClusters : 41556]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 3355860]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 5144]
[BSA_numClusters : 15008]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 206474]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1]
[BSA_averageDensity : 0.535156]
[BSA_reordering : 5234]
[BSA_numClusters : 15082]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 215945]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1]
[BSA_averageDensity : 0.527344]
[BSA_reordering : 5246]
[BSA_numClusters : 15107]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 218349]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
[BSA_numDenseBlock : 103]
[BSA_averageDensity : 0.533905]
[BSA_reordering : 1856]
[BSA_numClusters : 3647]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 4657259]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.9]
[BSA_delta : 0.5]
[BSA_block_size : 16]
