
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1311]
[BSA_averageDensity : 0.121398]
[BSA_reordering : 1294]
[BSA_numClusters : 1347]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 194457]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 821]
[BSA_averageDensity : 0.161669]
[BSA_reordering : 157]
[BSA_numClusters : 631]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 70580]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 904]
[BSA_averageDensity : 0.134632]
[BSA_reordering : 1244]
[BSA_numClusters : 1808]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 155209]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 904]
[BSA_averageDensity : 0.134632]
[BSA_reordering : 978]
[BSA_numClusters : 1808]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 155209]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1202]
[BSA_averageDensity : 0.144794]
[BSA_reordering : 611]
[BSA_numClusters : 1408]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 121605]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 8786]
[BSA_averageDensity : 0.367287]
[BSA_reordering : 320]
[BSA_numClusters : 549]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 152603]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 14606]
[BSA_averageDensity : 0.160771]
[BSA_reordering : 1826]
[BSA_numClusters : 1978]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 579974]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 42821]
[BSA_averageDensity : 0.197531]
[BSA_reordering : 14795]
[BSA_numClusters : 5757]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 1190492]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 612]
[BSA_averageDensity : 0.1307]
[BSA_reordering : 545]
[BSA_numClusters : 1519]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 185997]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 776]
[BSA_averageDensity : 0.136779]
[BSA_reordering : 566]
[BSA_numClusters : 1522]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 188910]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 820]
[BSA_averageDensity : 0.139467]
[BSA_reordering : 580]
[BSA_numClusters : 1520]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 189207]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
[BSA_block_size : 16]
[BSA_numDenseBlock : 96699]
[BSA_averageDensity : 0.114123]
[BSA_reordering : 387]
[BSA_numClusters : 763]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 1846227]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.1]
