
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 1294]
[BSA_numClusters : 1347]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 235200]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 14]
[BSA_averageDensity : 0.327288]
[BSA_reordering : 157]
[BSA_numClusters : 631]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 103386]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 1244]
[BSA_numClusters : 1808]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 978]
[BSA_numClusters : 1808]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1]
[BSA_averageDensity : 0.3125]
[BSA_reordering : 611]
[BSA_numClusters : 1408]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 166080]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 4453]
[BSA_averageDensity : 0.554603]
[BSA_reordering : 320]
[BSA_numClusters : 549]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 346481]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 523]
[BSA_averageDensity : 0.346252]
[BSA_reordering : 1826]
[BSA_numClusters : 1978]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 1134761]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 6105]
[BSA_averageDensity : 0.408383]
[BSA_reordering : 14795]
[BSA_numClusters : 5757]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 2717607]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 545]
[BSA_numClusters : 1519]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 206474]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 11]
[BSA_averageDensity : 0.429688]
[BSA_reordering : 566]
[BSA_numClusters : 1522]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 214872]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 17]
[BSA_averageDensity : 0.400506]
[BSA_reordering : 580]
[BSA_numClusters : 1520]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 216741]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 105]
[BSA_averageDensity : 0.53192]
[BSA_reordering : 387]
[BSA_numClusters : 763]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 4657039]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.3]
[BSA_delta : 0.3]
[BSA_block_size : 16]
