file,M,N,NNZ,Sparsity,alpha,K,BSMR,BSMR_Only_Tensor_core,BSMR_Only_CUDA_Core
./suiteSparse_dataset/c-63/c-63.mtx,44234,44234,239469,99.98,0.1,256,1397.14,719.13,1325.96
./suiteSparse_dataset/HEP-th/HEP-th.mtx,27240,27240,342437,99.95,0.1,256,2408.14,1573.7,2394.66
./suiteSparse_dataset/li/li.mtx,22695,22695,1350309,99.73,0.3,256,4839.82,4094.33,4018.78
./suiteSparse_dataset/e40r0100/e40r0100.mtx,17281,17281,553562,99.81,0.3,256,5990.93,4699.17,4212.8
./suiteSparse_dataset/g7jac180sc/g7jac180sc.mtx,53370,53370,747276,99.97,0.1,256,2644.29,1751.7,2358.83
./suiteSparse_dataset/Trefethen_20000/Trefethen_20000.mtx,20000,20000,287233,99.92,0.3,256,2438.31,1806.5,2283.25
./suiteSparse_dataset/c-62ghs/c-62ghs.mtx,41731,41731,300537,99.98,0.1,256,1810.46,785.1,1694.12
./suiteSparse_dataset/chem_master1/chem_master1.mtx,40401,40401,201201,99.98,0.9,256,1283.17,1015.14,1276.66
./suiteSparse_dataset/soc-sign-Slashdot090216/soc-sign-Slashdot090216.mtx,81871,81871,545671,99.99,0.1,256,1689.38,961.03,1686.25
./suiteSparse_dataset/TSOPF_RS_b300_c2/TSOPF_RS_b300_c2.mtx,28338,28338,2943887,99.63,0.1,256,13332.8,12015.9,4788.37
./suiteSparse_dataset/sinc15/sinc15.mtx,11532,11532,568526,99.57,0.7,256,4107.85,3017.65,3364.06
./suiteSparse_dataset/lhr34c/lhr34c.mtx,35152,35152,764014,99.93,0.1,256,6324.62,3962.73,3517.56
./suiteSparse_dataset/crankseg_2/crankseg_2.mtx,63838,63838,7106348,99.82,0.3,256,5196.22,4290.75,4532.11
./suiteSparse_dataset/LeGresley_87936/LeGresley_87936.mtx,87936,87936,593276,99.99,0.1,256,1301.61,921.52,1300.47
./suiteSparse_dataset/lhr34/lhr34.mtx,35152,35152,764014,99.93,0.1,256,6335.11,3970.97,3520.8
