file,M,N,NNZ,Sparsity,K,BSMR,cuSDDMM,cuSPARSE,RoDe,ASpT,TCGNN,FlashSparse,Sputnik
./suiteSparse_dataset/ACTIVSg10K/ACTIVSg10K.mtx,20000,20000,137736,99.96%,128,2477.27,727.61,35.58,1586.82,1485.42,233.978,1481.53,24.04
./suiteSparse_dataset/pkustk01/pkustk01.mtx,22044,22044,500712,99.89%,128,4286.92,828.7,118.16,3410.1,3611.28,464.815,4509.38,131
./suiteSparse_dataset/vsp_vibrobox_scagr7-2c_rlfddd/vsp_vibrobox_scagr7-2c_rlfddd.mtx,77328,77328,435586,99.99%,128,2526.6,918.98,99.89,1714.91,1499.85,23.3163,1359.05,10.23
./suiteSparse_dataset/lhr34/lhr34.mtx,35152,35152,764014,99.93%,128,6474.69,1737.48,190.67,2929.5,3120.97,1021.88,3104.56,43.2
./suiteSparse_dataset/mycielskian16/mycielskian16.mtx,49151,49151,16691240,99.30%,128,4054.81,405.09,2151.79,1896.99,2753.24,3.01256,2257.72,783
./suiteSparse_dataset/nd6k/nd6k.mtx,18000,18000,3457658,98.93%,128,7319.34,1164.45,1914.86,2007.6,3474.3,445.685,6297.12,968.89
./suiteSparse_dataset/scfxm1-2r/scfxm1-2r.mtx,37980,65943,221388,99.99%,128,2222.77,622.16,56.72,1662.07,1102.12,310.89,1144.96,6.23
./suiteSparse_dataset/c-59/c-59.mtx,41282,41282,260909,99.98%,128,2433.85,613.98,56.21,2253.92,1966.39,28.857,1910.21,19.78
./suiteSparse_dataset/t3dh_e/t3dh_e.mtx,79171,79171,2215638,99.96%,128,3108.36,1448.59,469.2,2620.49,2384.08,806.237,2833.52,46.76
./suiteSparse_dataset/IG5-15/IG5-15.mtx,11369,11987,323509,99.76%,128,2330.76,637.79,78.49,1735.56,1695.54,74.7053,1251.03,157.53
./suiteSparse_dataset/net150/net150.mtx,43520,43520,1582360,99.91%,128,4836.06,1353.38,359.34,2229.43,2747.17,69.9925,1853.46,113.13
./suiteSparse_dataset/epb2/epb2.mtx,25228,25228,175027,99.97%,128,2352.51,525.92,44.19,2113.85,1441.59,245.249,2240.35,19.27
./suiteSparse_dataset/c-55/c-55.mtx,32780,32780,218115,99.97%,128,2360.55,487.64,49.71,2226.55,1230.03,19.6229,1857.61,26.27
./suiteSparse_dataset/TSOPF_RS_b39_c30/TSOPF_RS_b39_c30.mtx,60098,60098,1079986,99.97%,128,5465.52,1556.6,269.68,2535.18,2676.63,1255.57,4686.04,21.07
./suiteSparse_dataset/c-67/c-67.mtx,57975,57975,294955,99.99%,128,2449.79,510.87,68.45,2090.94,1203.27,4.51977,2147.88,11.15
./suiteSparse_dataset/TSOPF_RS_b39_c7/TSOPF_RS_b39_c7.mtx,14098,14098,252446,99.87%,128,4709.81,659.28,60.78,2009.92,2287.94,530.157,3247.55,88.12
./suiteSparse_dataset/conf6_0-8x8-30/conf6_0-8x8-30.mtx,49152,49152,1916928,99.92%,128,4940.54,2944.36,469.2,2628.81,3779.71,1419.95,3155.84,55.5
./suiteSparse_dataset/fome12/fome12.mtx,24284,48920,142528,99.98%,128,1472.4,751.48,33.23,1402.83,749.41,84.3634,942.821,8.44
./suiteSparse_dataset/Trefethen_20000/Trefethen_20000.mtx,20000,20000,287233,99.92%,128,2279.63,1106.44,68.06,2466.49,2060.45,267.313,1466.36,94.93
./suiteSparse_dataset/sinc15/sinc15.mtx,11532,11532,568526,99.57%,128,3820.74,635.4,136.26,2087.1,2451.86,74.1997,1588.89,277.87
./suiteSparse_dataset/soc-sign-Slashdot090216/soc-sign-Slashdot090216.mtx,81871,81871,545671,99.99%,128,1957.21,592.84,122.62,1225.68,1154.34,51.2236,966.057,5.65
./suiteSparse_dataset/human_gene2/human_gene2.mtx,14340,14340,9041364,95.60%,128,5952.97,383.55,1774.07,1955.11,2814.74,30.5397,2070.78,2446.3
./suiteSparse_dataset/smt/smt.mtx,25710,25710,1889447,99.71%,128,5531.17,1765.69,1024.43,2673.97,3653.8,479.88,4553.63,370.15
./suiteSparse_dataset/chem_master1/chem_master1.mtx,40401,40401,201201,99.98%,128,2186.97,1015.14,47.41,1942.09,1374.09,476.039,1757.93,8.68
./suiteSparse_dataset/case39/case39_A_11.mtx,40216,40216,526144,99.96%,128,4963.62,1095.25,137.66,2708.34,2255.78,0.262893,3849.86,45.25
./suiteSparse_dataset/venkat50/venkat50.mtx,62424,62424,1717792,99.95%,128,4181.58,1619.78,385.11,4243.56,3677.17,1199.22,5060.47,30.98
