file,M,N,NNZ,Sparsity,K,BSMR,cuSDDMM,cuSPARSE,RoDe,ASpT,TCGNN,FlashSparse,Sputnik
./suiteSparse_dataset/c-63/c-63.mtx,44234,44234,239469,99.98%,32,748.34,465.94,14.54,1275.54,875.54,12.658,208.086,3.7
./suiteSparse_dataset/HEP-th/HEP-th.mtx,27240,27240,342437,99.95%,32,1222.99,781.11,21.77,1019.16,597.83,59.1684,859.45,8.11
./suiteSparse_dataset/li/li.mtx,22695,22695,1350309,99.73%,32,2961.2,1577.46,199.84,1392.65,1935.79,292.354,2969.75,45.53
./suiteSparse_dataset/e40r0100/e40r0100.mtx,17281,17281,553562,99.81%,32,3326.69,1100.96,35.33,1051.6,1508.34,228.273,2173.49,32.27
./suiteSparse_dataset/g7jac180sc/g7jac180sc.mtx,53370,53370,747276,99.97%,32,2267.22,815.05,46.21,1315.63,1398.35,143.664,1467.04,4.53
./suiteSparse_dataset/Trefethen_20000/Trefethen_20000.mtx,20000,20000,287233,99.92%,32,1632.01,783.29,16.94,1626.95,1680.71,153.751,1319.18,23.76
./suiteSparse_dataset/c-62ghs/c-62ghs.mtx,41731,41731,300537,99.98%,32,690.57,448.43,16.53,1235.3,739.28,5.05321,1193.27,5.66
./suiteSparse_dataset/chem_master1/chem_master1.mtx,40401,40401,201201,99.98%,32,1462.22,672.01,11.96,982.43,636.91,221.252,1238.16,2.18
./suiteSparse_dataset/soc-sign-Slashdot090216/soc-sign-Slashdot090216.mtx,81871,81871,545671,99.99%,32,823.78,557.6,34.83,1072.47,892.64,29.8232,666.468,1.38
./suiteSparse_dataset/TSOPF_RS_b300_c2/TSOPF_RS_b300_c2.mtx,28338,28338,2943887,99.63%,32,6764.45,1477.82,529.05,3227.95,1452.44,385.452,6197.66,64.15
./suiteSparse_dataset/sinc15/sinc15.mtx,11532,11532,568526,99.57%,32,2077.95,540.53,36.97,957.76,1565.54,36.7384,1415.78,73.42
./suiteSparse_dataset/lhr34c/lhr34c.mtx,35152,35152,764014,99.93%,32,3914.01,1375.98,49,1290.56,1592.03,578.661,2560.05,10.89
